Language,language family,secondary family,ISO code,Stress system type,Rightward primary stress,Consonant duration,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s),"Uses contrastive length, duration is a correlate","Uses contrastive pitch, pitch is a correlate","Uses contrastive length, duration is not a correlate","Uses contrastive pItch, pitch is not a correlate","Does not use contrastive length, duration is a correlate","Don't use contrastive pitch, pitch is a correlate","Does not use contrastive length, duration is not a correlate","Does not use contrastive pitch, pitch is not a correlate","TO REMOVE FOR CONSONANT DURATION: Contrastive length, duration correlate","TO REMOVE FOR CONSONANT DURATION: No contrastive length, duration correlate",Blank pitch correlate,Blank pitch contrast,,"Duration is a correlate, something written as a primary correlate","REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 1 REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 2 REMOVE: duration is a correlate, something written as primary correlate",Trying for pitch to make sure the same thing is true,,TO REMOVE FOR CONSONANT DURATION: duration primary correlate,oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate,"TO REMOVE FOR CONSONANT DURATION: pitch primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes pitch","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes intensity",oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,"oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes pitch",,"TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration correlate","TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration not correlate",,"Have one stress per word, have rightward stress; 1=final stress","Have final stress, pitch as correlate","Have final stress, pitch not a correlate",,"Have vowel reduction, have duration as a correlate","Have vowel reduction, don't have duration as a correlate","Don't have vowel reduction, have duration as a correlate","Don't have vowel reduction, don't have duration as a correlate",,"Has vowel reduction, is binary","Has vowel reduction, is not binary","Doesn't have vowel reduction, is binary","Doesn't have vowel reduction, is not binary",,"Has vowel reduction, has duration as a correlate, is binary","Has vowel reduction, doesn't have duration as a correlate, is binary","Doesn't have vowel reduction, has duration as a correlate, is binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is binary",,"Has vowel reduction, has duration as a correlate, is not binary","Has vowel reduction, doesn't have duration as a correlate, is not binary","Doesn't have vowel reduction, has duration as a correlate, is not binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is not binary",,"Just checking: Intensity is primary correlate, intensity is not a correlate","Just checking: Pitch is primary correlate, pitch is not a correlate","Duration is primary correlate, duration is not a correlate","Length contrasts, duration is primary correlate","Length contrasts, duration is not primary correlate (but is still correlate); includes blanks","Length contrasts, duration is not primary correlate (but is still correlate); NO blanks","Length does not contrast, duration is primary correlate","Length does not contrast, duration is not primary correlate (but is still a correlate); includes blanks","Length does not contrast, duration is not primary correlate (but is still a correlate); NO blanks","TO REMOVE FROM DURATION: length contrasts, duration is primary correlate","TO REMOVE FROM DURATION: length contrasts, duration is not primary correlate but still a correlate)","TO REMOVE FROM DURATION: length does not contrast, duration is primary correlate","TO REMOVE FROM DURATION: length does not contrast, duration is not primary correlate (but is still a correlate)",,"Pitch contrasts, pitch is a primary correlate","Pitch does not contrast, pitch is a primary correlate","Pitch contrasts, pitch is not a primary correlate","Pitch does not contrast, pitch is not a primary correlate",,Has intensity AND has pitch,Has intensity and DOES NOT have pitch,"Does NOT have intensity, HAS pitch",Has intensity AND pitch and DOES NOT have duration,Has duration AND intensity but NOT pitch,Has duration AND pitch but NOT intensity,,"Is binary, has final lapse","Is binary, does not have final lapse","Has final lapse, has duration as a correlate","Has final lapse, does not have duration as a correlate","Does not have final lapse, has duration as a correlate","Does not have final lapse, does not have duration as a correlate",,"Has final lapse, has duration as a correlate, is leftward","Has final lapse, does not have duration as a correlate, is leftward","Does not have final lapse, has duration as a correlate, is leftword","Does not have final lapse, does not have duration as a correlate, is leftword",,"Has final lapse, is leftward","Does not have final lapse, is leftward","Has final lapse, is rightward","Does not have final lapse, is rightward"
Anejom,Afro-Asiatic,Cushitic,,1,1,,1,1,0,,1,0,,0,1,,"D’Imperio & Rosenthall (1999); Alfano, Llisterri, & Savy (2007); Crosswhite (2001)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Warlpiri,Uto-Aztecan,Northern,,1,1,,0,1,0,2,0,1,,0,0,,Hardman (1966),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Wardaman,Panoan,Mayoruna,,1,1,,0,0,1,3,0,1,,0,0,,Dixon (2004),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Leti,Penutian,Maiduan,,2,1,,1,0,1,,0,1,,0,,,"Pensalfini (1997, 2003)",TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Masbatenyo,Austronesian,Malayo-Polynesian,,0,1,,1,1,1,2,0,3,,0,,,"Colarusso (1992), Gordon & Applebaum (2010)",,,,,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Manambu,Barbacoan,,,3,1,,0,0,1,3,0,1,,0,,,Sandalo (1997),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Mocho,Austronesian,Malayo-Polynesian,,0,0,,0,0,1,3,1,3,,0,,,"Simoncsics (1998), Künnap (1999)",,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Wyandot,Australian,Pama-Nyungan,,0,1,,1,0,1,,0,0,,0,,,"Berinstein (1979), Bennett (to appear); StressTyp",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Kuku Yalanji,Indo-European,Germanic,,1,1,,1,1,1,3,0,1,,0,0,,Everett (2006),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Belep,Indo-European,Germanic,,1,0,,1,0,0,1,1,3,,1,1,,Biondi (2011),,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Chuvash,Tupian,Arikem,,0,0,,0,1,1,,0,1,,0,,,Ultan (1967),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Cassubian (North),Indo-European,Slavic,,0,0,,0,0,1,3,0,1,,0,,,Rennison (1997),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Kadiweu (Non-Noble),Austronesian,Oceanic,,0,0,,0,1,1,,0,0,,0,,,Patz (2002),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Baonan/Bonan,Trans-New Guinea,Finisterre-Huon,,0,0,,1,1,0,,0,1,,1,,,Hyslop (2011),TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Yidin,Totonacan,Tepiman,,1,1,,0,1,1,,0,2,,0,0,,"Lynch (1978, p.c.), Hayes (1995)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Awtuw,Penutian,Plateau Penutian,,1,1,,1,1,0,1,0,2,,0,1,1,"Hume (1997), Hume et al. (1997)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
German,Indo-European,Germanic,,1,1,,1,0,1,3,1,0,,0,1,,Harvey (2001),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Yuchi/Euchee,unclassified,,,0,1,,1,0,0,1,0,0,,0,,,Friedman (1993),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waima,Chapacuran,,,1,0,,1,1,1,,0,0,,0,1,,"Shipley (1964), Rice (2010)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
"Greek, Modern",Austronesian,Malayo-Polynesian,,0,1,,1,0,0,1,0,0,,0,,,"Yadav (1980), Mishra (2006)",,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yupik (Siberian),Afro-Asiatic,Cushitic,,0,1,,0,1,1,0,1,1,,0,,,Borg & Azzopardi-Alexander (1997),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Cree (Northern East),Indo-European,Sanskrit,,0,1,,0,0,1,3,0,2,,0,,,Aikhenvald (2008),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Punjabi,Uto-Aztecan,Tarahumaran languages,,0,1,,0,1,1,,1,0,,0,,,Slater (2003),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Chickasaw,Indo-European,Slavic,,1,1,,0,1,1,,0,1,,0,0,,Hall (1988),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Wari',Nyulyulan,Western,,0,1,,1,1,1,1,0,1,,0,,,Rosero (2014),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Páez,Uralic,Samoyed,,1,0,,1,1,0,,0,3,,0,0,,Fleck (2003),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Thai,Austronesian,Malayo-Polynesian,,0,0,,1,1,1,,0,1,,0,,,Berghäll or Järvinen (2010)???,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Danish,Indo-European,Indo-Iranian,,1,1,,0,0,1,3,0,0,,0,0,,Sousa (2006),,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Kashibo-Kakataibo,Semitic,South Semitic,,1,0,,1,1,0,,1,1,,0,1,,"Miner (1979), Milligan (2005)",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Emerillon,Arauan,,,1,1,,0,1,1,,1,1,,0,0,,"Romero-Méndez 2009, van der Hulst, Rice, & Wetzels (2011)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Kurtöp,Austronesian,Malayo-Polynesian,,0,1,,1,1,0,2,0,1,,1,,,Palosaari (2011),TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Pashto,Oto-Manguean,Popolocan,,0,1,,0,1,0,2,,0,,0,,,Weiers (2003); Jan-Olof Svantesson (2005)?,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
English,Australian,Pama-Nyungan,,0,1,,0,1,1,2,1,3,,0,,,"Michelson (1983), Hopkins (1988)",,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Ethiopic,Guaicuruan,Southern,,0,1,,0,1,1,,0,1,,0,,,Faehndrich (2007),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Nambikuara,Iroquoian,Northern,,0,1,,0,1,0,2,,1,,0,,,Haude (2006),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Koromfe,Uralic,Khanty,,0,1,,1,0,1,,0,0,,1,,,Guion et al (2010),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Nubi,Austronesian,Malayo-Polynesian,,0,0,2,1,1,1,1,0,0,,1,,,"Lowe (1999), Menno (2001)",,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Huave (San Fransisco del Mar),Mongolic,Shirongolic,,0,1,,1,1,1,,1,0,,0,,,"Acharya (1991), Matthews (1998)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Kamass,Cariban,Guianan Carib,,0,1,2,1,0,0,1,,3,,1,,,Stark Campbell (2011),,,,TRUE,TRUE,,,,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingulu,Maiduan,Konkow,,1,0,,1,0,0,,1,1,,0,1,,Blevins (2001),TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Limilngan,Trans–New Guinea,Madang,,0,0,,0,1,1,,0,1,,0,,,"Paul (1967), Eatough (1999)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Saanish,Austronesian,Malayo-Polynesian,,1,1,,1,0,1,,0,3,,1,1,,Lunden (field data),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Irish,Indo-European,Celtic,,0,1,,1,1,1,,1,0,,1,,,Wellens (2005),,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Menominee,Totonacan,Totonac,,0,1,,0,0,1,3,0,1,,0,,,"Chafe (1970), Michelson (1983)",,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Eton,Uralic,Finno-Ugric,,0,,,0,1,0,2,0,1,,0,,,Gerdel (1985),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Beja,Turkic,Common Turkic,,1,0,,1,1,0,1,0,1,,0,0,,"Snapp, Anderson, & Anderson (1982)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Inanwatan,Muskogean,Eastern Muskogean,,0,1,,0,1,1,2,1,1,,0,,,Liljegren (2008),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Arabic (Syrian),Austronesian,Malayo-Polynesian,,1,1,,0,1,1,,0,0,,0,0,,Tegey & Robson (1996),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Hup/Hupda,Nambikwaran,Nambikwara,,0,0,,1,1,0,,0,1,,0,,,Vidal (2001),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Kabardian,Indo-European,Slavic,,1,0,,1,1,1,3,0,2,,0,1,,Hansen & Hansen (1969),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Uyghur,Muskogean,Western Muskogean,,0,2,,1,0,1,,0,1,,1,,,Everett (1998),TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Spanish (European),Guaicuruan,,,0,1,,1,0,1,,,0,,1,,,Giaphong (2004),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Maidu (Mountain),Hokan,Pomoan,,1,1,1,1,1,1,3,0,0,,0,0,,"Crosswhite (2001), Swan (2003), _ukaszewicz & Rozborski (2008), Newlin-_ukowicz (2012), _ukaszewicz (2015)",,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Upper Chehalis,Indo-European,Indo-Aryan,,1,0,,0,1,1,2,0,2,,0,0,,McLendon (1975),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,TRUE,,,TRUE,,
Onondaga,Zaparoan,Arabela–Andoa,,1,1,,0,1,0,2,0,1,,0,0,,"Walker (2008, 2013)",,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Pilagá,Indo-European,Germanic,,0,,,1,1,0,,0,1,,1,,,Bhatia (1993),TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Bardi,Australian,Pama-Nyungan,,0,1,,0,1,1,,0,1,,0,,,Berinstein (1979); Bennett (to appear); Wagner (2014),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Diola-Fogny,Niger–Congo,Atlantic–Congo,,1,1,,1,1,1,2,0,1,,0,0,,Hintz (2006),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Mixe (Ayutla),Indo-European,Celtic,,1,1,,1,1,0,,1,0,,0,1,1,Leonard (2007),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Paiute (Northern),Maiduan,Nisenan,,0,1,,0,1,1,,0,1,,0,,,"Hargus & Beavert (2005), Jansen (2010)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Kaqchikel,Iroquoian,Northern,,2,1,,1,0,1,,0,0,,0,,,Wegener (2008),,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
